quarter,module,minimum,standard,full,ticket
Q1,FOH POS 开台→点餐→厨打→结账,含,含,含,AUT-28
Q1,自社预约 + 候位叫号 MVP,含,含,含,AUT-46
Q1,支付：信用卡 + PayPay,含,含,含,AUT-29
Q1,支付：微信 / 支付宝,不含,加购,加购,AUT-35
Q1,标准硬件包：T1 + 厨屏 + 打印机,含,含,含,AUT-30
Q1,硬件第二套 / 手持 alt pack,不含,加购,加购,AUT-41
Q2,订单运营：退改/班次/异常单,不含,含,含,AUT-31
Q2,基础报表,不含,含,含,AUT-32
Q2,LINE 会员 CRM（LINE 必上）,不含,含,含,AUT-33
Q2,老板 LINE 日报/周报,不含,含,含,AUT-34
Q2,点餐端日/中/英,不含,含,含,AUT-36
Q3,多店 Brand/Store,不含,不含,含,AUT-37
Q3,库存 MVP,不含,不含,含,AUT-38
Q3,采购单,不含,不含,含,AUT-39
Q3,财务加深（毛利/费用概算）,不含,不含,含,AUT-40
Q4,候位 LINE 生产化 / CRM 深度,不含,不含,含,AUT-42
Q4,外卖半自动进单进厨,不含,不含,含,AUT-43
Q4,营销自动化（2–3 规则）,不含,不含,含,AUT-44
